typo,id_station,lat,lon,code_insee,code_postal
station meteo,STATIC0132,43.6984,0.0235525,32063,32290
station meteo,000V6,47.98582,6.75652,88037,88120
station meteo,000V8,47.100211,-56.3811,97501,97500
station meteo,000V7,43.69553,5.50721,84089,84120
station meteo,000W1,45.44972,6.9781,73304,73150
station meteo,000W2,46.00246,3.14398,63012,63460
station meteo,000DA,48.663886,2.577601,77122,77380
station meteo,000W5,44.64484,2.41965,15260,15120
station meteo,000W6,42.87579,2.18176,11304,11500
station meteo,000Y4,45.588773,2.740771,63047,63150
station meteo,000W7,42.854787,2.00716,11320,11340
station meteo,000W8,48.85996,1.64759,78474,78910
station meteo,000W9,44.5373,6.04368,05061,05000
station meteo,000X0,48.48333,-2.73333,22360,22950
station meteo,000X1,44.37566,4.64273,07042,07700
station meteo,000X2,44.39307,4.90082,26099,26230
station meteo,000X3,46.15543,-1.01094,17245,17220
station meteo,000X4,44.35,1.41667,46172,46170
station meteo,000X5,44.774565830145,3.3868896822479,48132,48120
station meteo,000X6,48.11343,-2.0661,35277,35750
station meteo,000X8,46.53946,-1.61655,85103,85440
station meteo,000X9,43.094817,5.833386,83129,83140
station meteo,000Y1,43.745068,6.653205,83013,83840
station meteo,000AU,48.98881,3.36786,02186,02570
station meteo,000VB,47.8223,0.73862,72035,72310
station meteo,000Y3,45.531689,2.819371,63236,63240
station meteo,000Y5,45.777,5.487,01064,01470
station meteo,000Y9,43.10414,5.822602,83129,83140
station meteo,000Z0,45.68561,5.31617,38515,38460
station meteo,000Z1,48.41612,-2.34498,22084,22270
station meteo,000Z4,48.80743,7.55516,67403,67350
station meteo,000Z6,45.964076,0.843665,16064,16420
station meteo,000Z7,46.53333,0.11667,86123,86470
station meteo,000Z8,43.510673,5.459174,13001,13080
station meteo,000Z9,45.36395,5.59209,38563,38500
station meteo,000AA,44.87184,1.05692,24087,24220
station meteo,000AB,47.68387,7.394,68174,68440
station meteo,000AC,48.05437,0.471311,72090,72160
station meteo,000AD,50.377,2.3556,62763,62130
station meteo,000AE,42.445697145571,9.1975323677063,2B220,20218
station meteo,000AF,45.31482,-0.5381,17052,17150
station meteo,000AH,48.69209,7.88286,67151,67760
station meteo,000AI,44.1,3.06,12145,12100
station meteo,000AJ,42.98707,1.90958,09161,09600
station meteo,000AK,45.9259,4.95166,01333,01390
station meteo,000AL,48.95768,8.04113,67466,67160
station meteo,000AO,46.784,-72.575,nan,nan
station meteo,000AR,45.0063,2.9051,15148,15430
station meteo,000AS,46.72515,-2.34936,85113,85350
station meteo,000AT,49.66559,0.34167,76669,76110
station meteo,000AV,48.8539,3.762739,51042,51270
station meteo,000AX,45.69695,-0.40898,16330,16100
station meteo,000AY,43.41028,5.31306,13071,13170
station meteo,000BA,49.37218,2.65216,60284,60680
station meteo,000BB,48.05396,7.12492,68142,68140
station meteo,000BE,42.8802,-0.3974,64320,64440
station meteo,000BQ,48.255144,4.782931,10103,10200
station meteo,000BG,45.7329787,4.8329426,69123,69001
station meteo,000BN,45.36395,5.59209,38563,38500
station meteo,000BI,44.53326,3.16082,48187,48100
station meteo,000BL,43.22863,5.35002,13055,13001
station meteo,000BM,45.30136,5.99534,38504,38570
station meteo,000BO,45.58375,-0.83178,17131,17120
station meteo,000BS,42.68132,2.94122,66028,66330
station meteo,000BU,43.462905,5.885216,83116,83470
station meteo,000BV,48.846883,2.355538,75056,75001
station meteo,000BX,48.77841,-3.04375,22162,22500
station meteo,000BY,43.86667,4.95,13018,13440
station meteo,000BZ,44.08003,4.12478,30259,30560
station meteo,000CA,46.75871,0.70774,86125,86450
station meteo,000CC,45.61197,3.35178,63205,63270
station meteo,000CD,45.400129,5.80109,38376,38380
station meteo,000CE,43.1285133,0.3655783,65125,65300
station meteo,000CF,44.896298845491,1.8154173374176,46228,46130
station meteo,000CI,44.42309,2.21881,12008,12390
station meteo,000CJ,45.57315,6.6508,73006,73210
station meteo,000CK,44.000602,5.487573,84060,84400
station meteo,000CL,43.42776,5.537502,13046,13850
station meteo,000CM,46.08576,4.4278,69183,69870
station meteo,000CN,45.064,4.8462,07324,07300
station meteo,000CO,47.7498,-3.1882,56148,56690
station meteo,000CP,49.13333,1.45,27477,27510
station meteo,000CR,48.69709,0.11008,61002,61570
station meteo,000CT,48.8516904,2.3354015,75056,75001
station meteo,000CU,48.8952,8.10757,67463,67470
station meteo,000CV,50.8258333,4.465555555555556,nan,nan
station meteo,000CW,45.03542,0.3629,24299,24400
station meteo,000CX,49.29611,0.64926,27587,27290
station meteo,000CY,45.16863,4.25372,43114,43200
station meteo,000CZ,45.2875,4.7292,07172,07340
station meteo,000DB,44.64144,3.34532,48124,48100
station meteo,000DC,44.547914,2.311542,12100,12300
station meteo,000DD,47.28543,2.82391,18287,18300
station meteo,000DE,45.92028,6.68765,74208,74190
station meteo,000DF,45.74486,-1.124,17021,17530
station meteo,000DG,46.09772,6.6794,74294,74440
station meteo,000DH,46.1833333,7.5833333,nan,nan
station meteo,000DI,43.93333,5.38333,84118,84490
station meteo,000DJ,45.61667,5.53333,38022,38630
station meteo,000DM,45.9683291,-1.3607518,17337,17190
station meteo,000DN,49.611,1.022,76149,76890
