CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
3150;LOUROUX-BOURBONNAIS;;ZDS;
3151;LOUROUX-DE-BEAUNE;;ZDS;
3152;LOUROUX-DE-BOUBLE;;ZDS;
3154;LUNEAU;;ZDS;
3155;LURCY-LEVIS;;ZDS;
3156;LUSIGNY;;ZDS;
3158;HAUT-BOCAGE;;ZDS;
3159;MALICORNE;;ZDS;
3161;MARCILLAT-EN-COMBRAILLE;;ZDS;
3162;MARIGNY;;ZDS;
3163;MARIOL;M;ZDS;
3165;LE MAYET-DE-MONTAGNE;M;;
3167;MAZIRAT;;ZDS;
3168;MEAULNE-VITRAY;;ZDS;
3169;MEILLARD;;ZDS;
3170;MEILLERS;;ZDS;
3171;MERCY;;ZDS;
3172;MESPLES;;ZDS;
3173;MOLINET;;ZDS;
3174;MOLLES;M;;
3175;MONESTIER;;ZDS;
3177;MONETAY-SUR-LOIRE;;ZDS;
3178;MONTAIGUET-EN-FOREZ;;ZDS;
3180;MONTBEUGNY;;ZDS;
3181;MONTCOMBROUX-LES-MINES;;ZDS;
3183;LE MONTET;;ZDS;
3184;MONTILLY;;ZDS;
3185;MONTLUCON;;ZDS;
3186;MONTMARAULT;;ZDS;
3189;MONTVICQ;;ZDS;
3190;MOULINS;;ZDS;
3191;MURAT;;ZDS;
3192;NADES;M;;
3193;NASSIGNY;;ZDS;
3195;NERIS-LES-BAINS;;ZDS;
3196;NEUILLY-EN-DONJON;;ZDS;
3197;NEUILLY-LE-REAL;;ZDS;
3198;NEURE;;ZDS;
3200;NEUVY;;ZDS;
3201;NIZEROLLES;M;;
3202;NOYANT-D'ALLIER;;ZDS;
3203;PARAY-LE-FRESIL;;ZDS;
3205;PERIGNY;;ZDS;
3206;LA PETITE-MARCHE;;ZDS;
3207;PIERREFITTE-SUR-LOIRE;;ZDS;
3208;LE PIN;;ZDS;
3210;POUZY-MESANGY;;ZDS;
3211;PREMILHAT;;ZDS;
3212;QUINSSAINES;;ZDS;
3213;REUGNY;;ZDS;
3214;ROCLES;;ZDS;
3216;RONNET;;ZDS;
3217;SAINT-ANGEL;;ZDS;
3218;SAINT-AUBIN-LE-MONIAL;;ZDS;
3219;SAINT-BONNET-DE-FOUR;;ZDS;
3221;SAINT-BONNET-TRONCAIS;;ZDS;
3222;SAINT-CAPRAIS;;ZDS;
3223;SAINT-CHRISTOPHE;;ZDS;
3224;SAINT-CLEMENT;M;;
3225;SAINT-DESIRE;;ZDS;
3226;SAINT-DIDIER-EN-DONJON;;ZDS;
3228;SAINT-ELOY-D'ALLIER;;ZDS;
3229;SAINT-ENNEMOND;;ZDS;
3230;SAINT-ETIENNE-DE-VICQ;;ZDS;
3231;SAINT-FARGEOL;;ZDS;
3233;SAINT-GENEST;;ZDS;
3238;SAINT-HILAIRE;;ZDS;
3239;SAINT-LEGER-SUR-VOUZANCE;;ZDS;
3240;SAINT-LEON;;ZDS;
3241;SAINT-LEOPARDIN-D'AUGY;;ZDS;
3243;SAINT-MARCEL-EN-MURAT;;ZDS;
3244;SAINT-MARCEL-EN-MARCILLAT;;ZDS;
3245;SAINT-MARTIN-DES-LAIS;;ZDS;
3246;SAINT-MARTINIEN;;ZDS;
3247;SAINT-MENOUX;;ZDS;
3248;SAINT-NICOLAS-DES-BIEFS;M;;
3249;SAINT-PALAIS;;ZDS;
3250;SAINT-PIERRE-LAVAL;M;ZDS;
3251;SAINT-PLAISIR;;ZDS;
3253;SAINT-POURCAIN-SUR-BESBRE;;ZDS;
3255;SAINT-PRIEST-D'ANDELOT;;ZDS;
3256;SAINT-PRIEST-EN-MURAT;;ZDS;
3257;SAINT-PRIX;;ZDS;
3259;SAINT-SAUVIER;;ZDS;
3260;SAINT-SORNIN;;ZDS;
3261;SAINTE-THERENCE;;ZDS;
3262;SAINT-VICTOR;;ZDS;
3263;SAINT-VOIR;;ZDS;
3265;SALIGNY-SUR-ROUDON;;ZDS;
3269;SAUVAGNY;;ZDS;
3270;SAZERET;;ZDS;
3272;SERVILLY;;ZDS;
3274;SORBIER;;ZDS;
3275;SOUVIGNY;;ZDS;
3277;TARGET;;ZDS;
3279;TEILLET-ARGENTY;;ZDS;
3280;TERJAT;;ZDS;
3281;LE THEIL;;ZDS;
3282;THENEUILLE;;ZDS;
3283;THIEL-SUR-ACOLIN;;ZDS;
3284;THIONNE;;ZDS;
3285;TORTEZAIS;;ZDS;
3286;TOULON-SUR-ALLIER;;ZDS;
3287;TREBAN;;ZDS;
3288;TREIGNAT;;ZDS;
3290;TREVOL;;ZDS;
3292;TRONGET;;ZDS;
3293;URCAY;;ZDS;
3296;VALIGNY;;ZDS;
3297;VALLON-EN-SULLY;;ZDS;
3299;VARENNES-SUR-TECHE;;ZDS;
3300;VAUMAS;;ZDS;
3301;VAUX;;ZDS;
3302;VEAUCE;;ZDS;
3303;VENAS;;ZDS;
3305;VERNEIX;;ZDS;
3306;LE VERNET;M;;
3308;VERNUSSE;;ZDS;
3309;LE VEURDRE;;ZDS;
3312;VIEURE;;ZDS;
3313;LE VILHAIN;;ZDS;
3314;VILLEBRET;;ZDS;
3315;VILLEFRANCHE-D'ALLIER;;ZDS;
3316;VILLENEUVE-SUR-ALLIER;;ZDS;
3317;VIPLAIX;;ZDS;
3319;VOUSSAC;;ZDS;
3320;YGRANDE;;ZDS;
3321;YZEURE;;ZDS;
4001;AIGLUN;M;;
4004;ALLEMAGNE-EN-PROVENCE;M;;
4005;ALLONS;M;;
4006;ALLOS;M;;
4007;ANGLES;M;;
4008;ANNOT;M;;
4009;ARCHAIL;M;;
4012;AUBENAS-LES-ALPES;M;;
4013;AUBIGNOSC;M;;
4016;AUTHON;M;;
4017;AUZET;M;;
4018;BANON;M;;
4019;BARCELONNETTE;M;;
4020;BARLES;M;;
4021;BARRAS;M;;
4022;BARREME;M;;
4023;BAYONS;M;;
4024;BEAUJEU;M;;
4025;BEAUVEZER;M;;
4026;BELLAFFAIRE;M;;
4027;BEVONS;M;;
4028;BEYNES;M;;
4030;BLIEUX;M;;
4031;BRAS-D'ASSE;M;;
4032;BRAUX;M;;
4033;UBAYE-SERRE-PONCON;M;;
4035;BRUNET;M;;
